MJJCLBGC_00001	COG0527	[E] Aspartokinases     
MJJCLBGC_03276	COG0169	[E] Shikimate 5-dehydrogenase    
MJJCLBGC_03277	COG0068	[O] Hydrogenase maturation factor   
MJJCLBGC_03278	COG0551	[L] Zn-finger domain associated with topoisomerase type
MJJCLBGC_03279	COG2922	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03280	COG0758	[LU] Predicted Rossmann fold nucleotide-binding protein involved
MJJCLBGC_03281	COG0242	[J] N-formylmethionyl-tRNA deformylase    
MJJCLBGC_03282	COG0223	[J] Methionyl-tRNA formyltransferase    
MJJCLBGC_03283	COG0144	[J] tRNA and rRNA cytosine-C5-methylases  
MJJCLBGC_03284	COG0569	[P] K+ transport systems, NAD-binding component 
MJJCLBGC_03285	COG1970	[M] Large-conductance mechanosensitive channel   
MJJCLBGC_03286	COG3036	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03287	COG0789	[K] Predicted transcriptional regulators   
MJJCLBGC_03288	ROG0120	
MJJCLBGC_03289	COG0203	[J] Ribosomal protein L17   
MJJCLBGC_03290	COG0202	[K] DNA-directed RNA polymerase, alpha subunit/40 kD
MJJCLBGC_03291	COG0522	[J] Ribosomal protein S4 and related proteins
MJJCLBGC_03292	COG0100	[J] Ribosomal protein S11   
MJJCLBGC_03293	COG0099	[J] Ribosomal protein S13   
MJJCLBGC_03294	COG0257	[J] Ribosomal protein L36   
MJJCLBGC_03295	COG0201	[U] Preprotein translocase subunit SecY  
MJJCLBGC_03296	COG0200	[J] Ribosomal protein L15   
MJJCLBGC_03297	COG1841	[J] Ribosomal protein L30/L7E   
MJJCLBGC_03298	COG0098	[J] Ribosomal protein S5   
MJJCLBGC_03299	COG0256	[J] Ribosomal protein L18   
MJJCLBGC_03300	COG0097	[J] Ribosomal protein L6P/L9E   
MJJCLBGC_03301	COG0096	[J] Ribosomal protein S8   
MJJCLBGC_03302	COG0199	[J] Ribosomal protein S14   
MJJCLBGC_03303	COG0094	[J] Ribosomal protein L5   
MJJCLBGC_03304	COG0198	[J] Ribosomal protein L24   
MJJCLBGC_03305	COG0093	[J] Ribosomal protein L14   
MJJCLBGC_03306	COG0186	[J] Ribosomal protein S17   
MJJCLBGC_03307	COG0255	[J] Ribosomal protein L29   
MJJCLBGC_03308	COG0197	[J] Ribosomal protein L16/L10E   
MJJCLBGC_03309	COG0092	[J] Ribosomal protein S3   
MJJCLBGC_03310	COG0091	[J] Ribosomal protein L22   
MJJCLBGC_03311	COG0185	[J] Ribosomal protein S19   
MJJCLBGC_03312	COG0090	[J] Ribosomal protein L2   
MJJCLBGC_03313	COG0089	[J] Ribosomal protein L23   
MJJCLBGC_03314	COG0088	[J] Ribosomal protein L4   
MJJCLBGC_03315	COG0087	[J] Ribosomal protein L3   
MJJCLBGC_03316	COG0051	[J] Ribosomal protein S10   
MJJCLBGC_03318	COG3409	[M] Putative peptidoglycan-binding domain-containing protein  
MJJCLBGC_03319	COG3031	[U] Type II secretory pathway, component PulC
MJJCLBGC_03320	COG1450	[NU] Type II secretory pathway, component PulD
MJJCLBGC_03321	COG2804	[NU] Type II secretory pathway, ATPase PulE/Tfp
MJJCLBGC_03322	COG1459	[NU] Type II secretory pathway, component PulF
MJJCLBGC_03323	COG2165	[NU] Type II secretory pathway, pseudopilin PulG
MJJCLBGC_03324	COG4970	[NU] Tfp pilus assembly protein FimT 
MJJCLBGC_03325	ROG4211	
MJJCLBGC_03326	COG4795	[U] Type II secretory pathway, component PulJ
MJJCLBGC_03327	COG3156	[U] Type II secretory pathway, component PulK
MJJCLBGC_03328	COG3297	[U] Type II secretory pathway, component PulL
MJJCLBGC_03329	COG3149	[U] Type II secretory pathway, component PulM
MJJCLBGC_03330	COG1989	[NOU] Type II secretory pathway, prepilin signal
MJJCLBGC_03331	COG2193	[P] Bacterioferritin (cytochrome b1)   
MJJCLBGC_03332	COG2906	[P] Bacterioferritin-associated ferredoxin    
MJJCLBGC_03333	ROG1669	
MJJCLBGC_03334	COG0050	[J] GTPases - translation elongation factors 
MJJCLBGC_03335	COG0480	[J] Translation elongation factors (GTPases)  
MJJCLBGC_03336	COG0049	[J] Ribosomal protein S7   
MJJCLBGC_03337	COG0048	[J] Ribosomal protein S12   
MJJCLBGC_03338	COG2168	[P] Uncharacterized conserved protein involved in oxidation
MJJCLBGC_03339	COG2923	[P] Uncharacterized protein involved in the oxidation
MJJCLBGC_03340	COG1553	[P] Uncharacterized conserved protein involved in intracellular
MJJCLBGC_03341	COG2964	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03342	COG0545	[O] FKBP-type peptidyl-prolyl cis-trans isomerases 1 
MJJCLBGC_03343	COG2900	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03344	COG1047	[O] FKBP-type peptidyl-prolyl cis-trans isomerases 2 
MJJCLBGC_03345	COG3529	[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
MJJCLBGC_03346	COG0475	[P] Kef-type K+ transport systems, membrane components
MJJCLBGC_03347	COG2249	[R] Putative NADPH-quinone reductase (modulator of drug
MJJCLBGC_03348	COG0488	[R] ATPase components of ABC transporters with
MJJCLBGC_03349	COG0429	[R] Predicted hydrolase of the alpha/beta-hydrolase fold
MJJCLBGC_03350	COG3089	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03351	COG3954	[C] Phosphoribulokinase     
MJJCLBGC_03352	COG1765	[O] Predicted redox protein, regulator of disulfide
MJJCLBGC_03353	COG0664	[T] cAMP-binding proteins - catabolite gene activator
MJJCLBGC_03354	COG1289	[S] Predicted membrane protein   
MJJCLBGC_03355	COG4992	[E] Ornithine/acetylornithine aminotransferase    
MJJCLBGC_03356	COG0512	[EH] Anthranilate/para-aminobenzoate synthases component II  
MJJCLBGC_03357	COG2184	[D] Protein involved in cell division 
MJJCLBGC_03359	COG0652	[O] Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin
MJJCLBGC_03360	COG0738	[G] Fucose permease    
MJJCLBGC_03361	COG1251	[C] NAD(P)H-nitrite reductase    
MJJCLBGC_03362	COG2146	[PR] Ferredoxin subunits of nitrite reductase and
MJJCLBGC_03363	COG2116	[P] Formate/nitrite family of transporters  
MJJCLBGC_03364	COG0007	[H] Uroporphyrinogen-III methylase    
MJJCLBGC_03366	COG0531	[E] Amino acid transporters   
MJJCLBGC_03367	COG2222	[M] Predicted phosphosugar isomerases   
MJJCLBGC_03368	COG1082	[G] Sugar phosphate isomerases/epimerases   
MJJCLBGC_03369	COG0524	[G] Sugar kinases, ribokinase family  
MJJCLBGC_03370	COG2188	[K] Transcriptional regulators    
MJJCLBGC_03372	ROG5012	
MJJCLBGC_03373	ROG4472	
MJJCLBGC_03374	COG1735	[R] Predicted metal-dependent hydrolase with the TIM-barrel
MJJCLBGC_03375	COG1015	[G] Phosphopentomutase     
MJJCLBGC_03376	COG3457	[E] Predicted amino acid racemase  
MJJCLBGC_03377	ROG7495	
MJJCLBGC_03378	ROG3679	
MJJCLBGC_03379	COG0180	[J] Tryptophanyl-tRNA synthetase    
MJJCLBGC_03380	COG0546	[R] Predicted phosphatases    
MJJCLBGC_03381	COG0036	[G] Pentose-5-phosphate-3-epimerase     
MJJCLBGC_03382	COG0338	[L] Site-specific DNA methylase   
MJJCLBGC_03383	COG3266	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03384	COG0337	[E] 3-dehydroquinate synthetase    
MJJCLBGC_03385	COG0703	[E] Shikimate kinase    
MJJCLBGC_03386	COG4796	[U] Type II secretory pathway, component HofQ
MJJCLBGC_03389	COG3166	[NU] Tfp pilus assembly protein PilN 
MJJCLBGC_03390	COG4972	[NU] Tfp pilus assembly protein, ATPase PilM
MJJCLBGC_03391	COG5009	[M] Membrane carboxypeptidase/penicillin-binding protein   
MJJCLBGC_03392	COG0494	[LR] NTP pyrophosphohydrolases including oxidative damage repair
MJJCLBGC_03394	COG1011	[R] Predicted hydrolase (HAD superfamily)  
MJJCLBGC_03395	COG1188	[J] Ribosome-associated heat shock protein implicated in
MJJCLBGC_03396	COG1281	[O] Disulfide bond chaperones of the HSP33
MJJCLBGC_03397	ROG0893	
MJJCLBGC_03398	COG1866	[C] Phosphoenolpyruvate carboxykinase (ATP)   
MJJCLBGC_03399	COG2205	[T] Osmosensitive K+ channel histidine kinase 
MJJCLBGC_03400	COG0745	[TK] Response regulators consisting of a CheY-like
MJJCLBGC_03401	COG0782	[K] Transcription elongation factor   
MJJCLBGC_03402	COG2183	[K] Transcriptional accessory protein   
MJJCLBGC_03403	COG1918	[P] Fe2+ transport system protein A 
MJJCLBGC_03404	COG0370	[P] Fe2+ transport system protein B 
MJJCLBGC_03405	ROG1872	
MJJCLBGC_03406	COG5464	[S] Uncharacterized conserved protein   
MJJCLBGC_03407	COG0596	[R] Predicted hydrolases or acyltransferases (alpha/beta hydrolase
MJJCLBGC_03408	COG1040	[R] Predicted amidophosphoribosyltransferases    
MJJCLBGC_03409	COG0694	[O] Thioredoxin-like proteins and domains  
MJJCLBGC_03410	COG2610	[GE] H+/gluconate symporter and related permeases 
MJJCLBGC_03411	COG1640	[G] 4-alpha-glucanotransferase     
MJJCLBGC_03412	COG0058	[G] Glucan phosphorylase    
MJJCLBGC_03413	COG2909	[K] ATP-dependent transcriptional regulator   
MJJCLBGC_03414	COG0430	[A] RNA 3'-terminal phosphate cyclase  
MJJCLBGC_03415	COG1690	[S] Uncharacterized conserved protein   
MJJCLBGC_03416	COG4650	[KT] Sigma54-dependent transcription regulator containing an AAA-type
MJJCLBGC_03417	COG1349	[KG] Transcriptional regulators of sugar metabolism 
MJJCLBGC_03418	COG0705	[R] Uncharacterized membrane protein (homolog of Drosophila
MJJCLBGC_03419	COG0607	[P] Rhodanese-related sulfurtransferase    
MJJCLBGC_03420	COG0578	[C] Glycerol-3-phosphate dehydrogenase    
MJJCLBGC_03422	COG0058	[G] Glucan phosphorylase    
MJJCLBGC_03423	COG0297	[G] Glycogen synthase    
MJJCLBGC_03424	COG0448	[G] ADP-glucose pyrophosphorylase    
MJJCLBGC_03425	COG1523	[G] Type II secretory pathway, pullulanase PulA
MJJCLBGC_03426	COG0296	[G] 1,4-alpha-glucan branching enzyme   
MJJCLBGC_03427	COG0136	[E] Aspartate-semialdehyde dehydrogenase    
MJJCLBGC_03428	COG2095	[U] Multiple antibiotic transporter   
MJJCLBGC_03429	COG2610	[GE] H+/gluconate symporter and related permeases 
MJJCLBGC_03430	COG3265	[G] Gluconate kinase    
MJJCLBGC_03431	COG1609	[K] Transcriptional regulators    
MJJCLBGC_03432	COG1741	[R] Pirin-related protein    
MJJCLBGC_03433	COG0673	[R] Predicted dehydrogenases and related proteins 
MJJCLBGC_03434	COG0454	[KR] Histone acetyltransferase HPA2 and related acetyltransferases
MJJCLBGC_03435	COG3157	[S] Hemolysin-coregulated protein (uncharacterized)   
MJJCLBGC_03437	COG3677	[L] Transposase and inactivated derivatives  
MJJCLBGC_03438	COG1662	[L] Transposase and inactivated derivatives, IS1 family
MJJCLBGC_03439	ROG7649	
MJJCLBGC_03441	COG0405	[E] Gamma-glutamyltransferase     
MJJCLBGC_03443	COG0584	[C] Glycerophosphoryl diester phosphodiesterase   
MJJCLBGC_03444	COG3839	[G] ABC-type sugar transport systems, ATPase components
MJJCLBGC_03445	COG0395	[G] ABC-type sugar transport system, permease component
MJJCLBGC_03446	COG1175	[G] ABC-type sugar transport systems, permease components
MJJCLBGC_03447	COG1653	[G] ABC-type sugar transport system, periplasmic component
MJJCLBGC_03448	COG0410	[E] ABC-type branched-chain amino acid transport systems,
MJJCLBGC_03449	COG0411	[E] ABC-type branched-chain amino acid transport systems,
MJJCLBGC_03450	COG4177	[E] ABC-type branched-chain amino acid transport system,
MJJCLBGC_03451	COG0559	[E] Branched-chain amino acid ABC-type transport system,
MJJCLBGC_03452	COG0683	[E] ABC-type branched-chain amino acid transport systems,
MJJCLBGC_03454	COG0683	[E] ABC-type branched-chain amino acid transport systems,
MJJCLBGC_03455	COG0568	[K] DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
MJJCLBGC_03456	COG2177	[D] Cell division protein   
MJJCLBGC_03457	COG2884	[D] Predicted ATPase involved in cell division
MJJCLBGC_03458	COG0552	[U] Signal recognition particle GTPase  
MJJCLBGC_03459	COG0742	[L] N6-adenine-specific methylase    
MJJCLBGC_03460	COG3776	[S] Predicted membrane protein   
MJJCLBGC_03461	ROG6351	
MJJCLBGC_03462	COG3714	[S] Predicted membrane protein   
MJJCLBGC_03463	COG2217	[P] Cation transport ATPase   
MJJCLBGC_03464	COG0425	[O] Predicted redox protein, regulator of disulfide
MJJCLBGC_03465	COG1738	[S] Uncharacterized conserved protein   
MJJCLBGC_03466	ROG1668	
MJJCLBGC_03468	COG0628	[R] Predicted permease    
MJJCLBGC_03469	COG2091	[H] Phosphopantetheinyl transferase    
MJJCLBGC_03470	COG0747	[E] ABC-type dipeptide transport system, periplasmic component
MJJCLBGC_03471	COG0601	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_03472	COG1173	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_03473	COG1123	[R] ATPase components of various ABC-type transport
MJJCLBGC_03474	COG1124	[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
MJJCLBGC_03475	COG0864	[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
MJJCLBGC_03476	COG3209	[M] Rhs family protein   
MJJCLBGC_03478	COG1413	[C] FOG: HEAT repeat   
MJJCLBGC_03479	COG5433	[L] Transposase     
MJJCLBGC_03480	COG0842	[V] ABC-type multidrug transport system, permease component
MJJCLBGC_03481	COG1131	[V] ABC-type multidrug transport system, ATPase component
MJJCLBGC_03482	COG1566	[V] Multidrug resistance efflux pump  
MJJCLBGC_03486	ROG5761	
MJJCLBGC_03487	COG2081	[R] Predicted flavoproteins    
MJJCLBGC_03488	COG0306	[P] Phosphate/sulphate permeases    
MJJCLBGC_03490	COG0589	[T] Universal stress protein UspA and related
MJJCLBGC_03491	COG3104	[E] Dipeptide/tripeptide permease    
MJJCLBGC_03493	COG0339	[E] Zn-dependent oligopeptidases    
MJJCLBGC_03494	COG2961	[R] Protein involved in catabolism of external
MJJCLBGC_03495	COG1249	[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3)
MJJCLBGC_03497	COG0640	[K] Predicted transcriptional regulators   
MJJCLBGC_03498	COG1055	[P] Na+/H+ antiporter NhaD and related arsenite
MJJCLBGC_03499	COG1393	[P] Arsenate reductase and related proteins, glutaredoxin
MJJCLBGC_03500	COG1357	[S] Uncharacterized low-complexity proteins   
MJJCLBGC_03501	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_03502	COG3065	[M] Starvation-inducible outer membrane lipoprotein  
MJJCLBGC_03504	COG1285	[S] Uncharacterized membrane protein   
MJJCLBGC_03506	ROG0403	
MJJCLBGC_03507	COG3247	[S] Uncharacterized conserved protein   
MJJCLBGC_03508	ROG5730	
MJJCLBGC_03510	COG0845	[M] Membrane-fusion protein    
MJJCLBGC_03511	COG0841	[V] Cation/multidrug efflux pump   
MJJCLBGC_03512	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_03513	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_03514	COG0076	[E] Glutamate decarboxylase and related PLP-dependent proteins
MJJCLBGC_03515	COG1858	[P] Cytochrome c peroxidase   
MJJCLBGC_03516	COG1626	[G] Neutral trehalase    
MJJCLBGC_03517	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_03518	COG0583	[K] Transcriptional regulator    
MJJCLBGC_03519	COG1295	[S] Predicted membrane protein   
MJJCLBGC_03520	COG0477	[GEPR] Permeases of the major facilitator superfamily
MJJCLBGC_03521	COG2982	[M] Uncharacterized protein involved in outer membrane
MJJCLBGC_03522	COG2200	[T] FOG: EAL domain   
MJJCLBGC_03523	COG0524	[G] Sugar kinases, ribokinase family  
MJJCLBGC_03524	COG0612	[R] Predicted Zn-dependent peptidases   
MJJCLBGC_03525	COG1301	[C] Na+/H+-dicarboxylate symporters    
MJJCLBGC_03526	COG2200	[T] FOG: EAL domain   
MJJCLBGC_03527	COG0457	[R] FOG: TPR repeat   
MJJCLBGC_03528	COG3405	[G] Endoglucanase Y    
MJJCLBGC_03529	ROG0761	
MJJCLBGC_03530	COG1215	[M] Glycosyltransferases, probably involved in cell wall
MJJCLBGC_03531	COG0455	[D] ATPases involved in chromosome partitioning 
MJJCLBGC_03535	ROG4317	
MJJCLBGC_03537	COG0814	[E] Amino acid permeases   
MJJCLBGC_03538	COG4608	[E] ABC-type oligopeptide transport system, ATPase component
MJJCLBGC_03539	COG0444	[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
MJJCLBGC_03540	COG1173	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_03541	COG0601	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_03542	COG0747	[E] ABC-type dipeptide transport system, periplasmic component
MJJCLBGC_03544	COG2194	[R] Predicted membrane-associated, metal-dependent hydrolase  
MJJCLBGC_03545	COG2211	[G] Na+/melibiose symporter and related transporters 
MJJCLBGC_03546	COG5571	[N] Autotransporter protein or domain, integral membrane
MJJCLBGC_03547	COG2818	[L] 3-methyladenine DNA glycosylase   
MJJCLBGC_03548	COG0454	[KR] Histone acetyltransferase HPA2 and related acetyltransferases
MJJCLBGC_03549	COG0243	[C] Anaerobic dehydrogenases, typically selenocysteine-containing  
MJJCLBGC_03550	COG2885	[M] Outer membrane protein and related peptidoglycan-associated
MJJCLBGC_03551	COG1052	[CHR] Lactate dehydrogenase and related dehydrogenases 
MJJCLBGC_03553	COG2944	[K] Predicted transcriptional regulator   
MJJCLBGC_03554	COG1278	[K] Cold shock proteins   
MJJCLBGC_03556	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_03557	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_03558	COG0751	[J] Glycyl-tRNA synthetase, beta subunit  
MJJCLBGC_03559	COG0752	[J] Glycyl-tRNA synthetase, alpha subunit  
MJJCLBGC_03561	COG3274	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03562	COG4682	[S] Predicted membrane protein   
MJJCLBGC_03563	COG4682	[S] Predicted membrane protein   
MJJCLBGC_03564	COG1070	[G] Sugar (pentulose and hexulose) kinases 
MJJCLBGC_03565	COG2115	[G] Xylose isomerase    
MJJCLBGC_03566	COG4213	[G] ABC-type xylose transport system, periplasmic component
MJJCLBGC_03567	COG1129	[G] ABC-type sugar transport system, ATPase component
MJJCLBGC_03568	COG4214	[G] ABC-type xylose transport system, permease component
MJJCLBGC_03569	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_03570	COG2992	[R] Uncharacterized FlgJ-related protein   
MJJCLBGC_03571	COG0366	[G] Glycosidases     
MJJCLBGC_03572	COG3977	[E] Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase  
MJJCLBGC_03573	COG1142	[C] Fe-S-cluster-containing hydrogenase components 2  
MJJCLBGC_03574	COG1414	[K] Transcriptional regulator    
MJJCLBGC_03575	COG2055	[C] Malate/L-lactate dehydrogenases    
MJJCLBGC_03576	COG2731	[G] Beta-galactosidase, beta subunit   
MJJCLBGC_03577	COG3090	[G] TRAP-type C4-dicarboxylate transport system, small permease
MJJCLBGC_03578	COG1593	[G] TRAP-type C4-dicarboxylate transport system, large permease
MJJCLBGC_03579	COG1638	[G] TRAP-type C4-dicarboxylate transport system, periplasmic component
MJJCLBGC_03580	COG1070	[G] Sugar (pentulose and hexulose) kinases 
MJJCLBGC_03581	COG0269	[G] 3-hexulose-6-phosphate synthase and related proteins 
MJJCLBGC_03582	COG3623	[G] Putative L-xylulose-5-phosphate 3-epimerase   
MJJCLBGC_03583	COG0235	[G] Ribulose-5-phosphate 4-epimerase and related epimerases and
MJJCLBGC_03584	COG3713	[M] Outer membrane protein V  
MJJCLBGC_03585	COG0583	[K] Transcriptional regulator    
MJJCLBGC_03586	COG1566	[V] Multidrug resistance efflux pump  
MJJCLBGC_03587	ROG2279	
MJJCLBGC_03589	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_03590	COG1454	[C] Alcohol dehydrogenase, class IV  
MJJCLBGC_03591	COG3276	[J] Selenocysteine-specific translation elongation factor  
MJJCLBGC_03592	COG1921	[E] Selenocysteine synthase [seryl-tRNASer selenium transferase] 
MJJCLBGC_03593	ROG5032	
MJJCLBGC_03594	COG3209	[M] Rhs family protein   
MJJCLBGC_03595	COG1413	[C] FOG: HEAT repeat   
MJJCLBGC_03596	COG3209	[M] Rhs family protein   
MJJCLBGC_03597	COG0790	[R] FOG: TPR repeat, SEL1 subfamily 
MJJCLBGC_03598	COG1566	[V] Multidrug resistance efflux pump  
MJJCLBGC_03599	ROG2279	
MJJCLBGC_03600	COG2213	[G] Phosphotransferase system, mannitol-specific IIBC component 
MJJCLBGC_03601	COG0246	[G] Mannitol-1-phosphate/altronate dehydrogenases    
MJJCLBGC_03602	COG3722	[K] Transcriptional regulator    
MJJCLBGC_03604	ROG8523	
MJJCLBGC_03605	COG1620	[C] L-lactate permease    
MJJCLBGC_03606	COG2186	[K] Transcriptional regulators    
MJJCLBGC_03607	COG1304	[C] L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy
MJJCLBGC_03608	COG0219	[J] Predicted rRNA methylase (SpoU class) 
MJJCLBGC_03609	COG1045	[E] Serine acetyltransferase    
MJJCLBGC_03610	COG0240	[C] Glycerol-3-phosphate dehydrogenase    
MJJCLBGC_03611	COG1952	[U] Preprotein translocase subunit SecB  
MJJCLBGC_03612	COG0695	[O] Glutaredoxin and related proteins  
MJJCLBGC_03613	COG0607	[P] Rhodanese-related sulfurtransferase    
MJJCLBGC_03614	COG0696	[G] Phosphoglyceromutase     
MJJCLBGC_03615	COG4942	[D] Membrane-bound metallopeptidase    
MJJCLBGC_03616	COG2861	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_03617	COG0463	[M] Glycosyltransferases involved in cell wall biogenesis
MJJCLBGC_03618	COG1063	[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
MJJCLBGC_03619	COG0156	[H] 7-keto-8-aminopelargonate synthetase and related enzymes 
MJJCLBGC_03621	COG0451	[MG] Nucleoside-diphosphate-sugar epimerases    
MJJCLBGC_03622	COG0859	[M] ADP-heptose:LPS heptosyltransferase    
MJJCLBGC_03623	COG0859	[M] ADP-heptose:LPS heptosyltransferase    
MJJCLBGC_03624	COG3307	[M] Lipid A core - O-antigen ligase
MJJCLBGC_03625	COG0859	[M] ADP-heptose:LPS heptosyltransferase    
MJJCLBGC_03627	ROG3683	
MJJCLBGC_03628	COG1442	[M] Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases  
MJJCLBGC_03629	COG1442	[M] Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases  
MJJCLBGC_03630	COG0438	[M] Glycosyltransferase     
MJJCLBGC_03631	ROG3667	
MJJCLBGC_03632	ROG1796	
MJJCLBGC_03633	COG0438	[M] Glycosyltransferase     
MJJCLBGC_03634	COG0859	[M] ADP-heptose:LPS heptosyltransferase    
MJJCLBGC_03635	COG1519	[M] 3-deoxy-D-manno-octulosonic-acid transferase    
MJJCLBGC_03636	COG0669	[H] Phosphopantetheine adenylyltransferase    
MJJCLBGC_03637	COG0266	[L] Formamidopyrimidine-DNA glycosylase    
MJJCLBGC_03638	COG0267	[J] Ribosomal protein L33   
MJJCLBGC_03639	COG0227	[J] Ribosomal protein L28   
MJJCLBGC_03640	COG2003	[L] DNA repair proteins   
MJJCLBGC_03641	COG0452	[H] Phosphopantothenoylcysteine synthetase/decarboxylase    
MJJCLBGC_03642	COG0756	[F] dUTPase     
MJJCLBGC_03643	COG1309	[K] Transcriptional regulator    
MJJCLBGC_03644	COG0461	[F] Orotate phosphoribosyltransferase    
MJJCLBGC_03645	COG0689	[J] RNase PH    
MJJCLBGC_03646	COG1561	[S] Uncharacterized stress-induced protein   
MJJCLBGC_03647	ROG0424	
MJJCLBGC_03648	COG2860	[S] Predicted membrane protein   
MJJCLBGC_03649	COG0272	[L] NAD-dependent DNA ligase (contains BRCT domain
MJJCLBGC_03650	COG0194	[F] Guanylate kinase    
MJJCLBGC_03651	COG1758	[K] DNA-directed RNA polymerase, subunit K/omega 
MJJCLBGC_03652	COG0317	[TK] Guanosine polyphosphate pyrophosphohydrolases/synthetases   
MJJCLBGC_03653	COG0566	[J] rRNA methylases    
MJJCLBGC_03654	COG1200	[LK] RecG-like helicase    
MJJCLBGC_03655	COG0786	[E] Na+/glutamate symporter    
MJJCLBGC_03656	COG2233	[F] Xanthine/uracil permeases    
MJJCLBGC_03658	COG1501	[G] Alpha-glucosidases, family 31 of glycosyl hydrolases
MJJCLBGC_03659	COG2211	[G] Na+/melibiose symporter and related transporters 
MJJCLBGC_03662	COG0697	[GER] Permeases of the drug/metabolite transporter (DMT)
MJJCLBGC_03663	COG1464	[P] ABC-type metal ion transport system, periplasmic
MJJCLBGC_03665	COG2814	[G] Arabinose efflux permease   
MJJCLBGC_03667	COG2252	[R] Permeases     
MJJCLBGC_03668	COG1001	[F] Adenine deaminase    
MJJCLBGC_03669	COG2271	[G] Sugar phosphate permease   
MJJCLBGC_03670	COG2271	[G] Sugar phosphate permease   
MJJCLBGC_03671	COG3851	[T] Signal transduction histidine kinase, glucose-6-phosphate specific
MJJCLBGC_03672	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_03673	COG0440	[E] Acetolactate synthase, small (regulatory) subunit 
MJJCLBGC_03674	COG0028	[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate
MJJCLBGC_03676	COG0477	[GEPR] Permeases of the major facilitator superfamily
MJJCLBGC_03677	COG0641	[R] Arylsulfatase regulator (Fe-S oxidoreductase)  
MJJCLBGC_03679	COG2149	[S] Predicted membrane protein   
MJJCLBGC_03680	ROG0803	
MJJCLBGC_03681	COG3119	[P] Arylsulfatase A and related enzymes 
MJJCLBGC_03682	COG4146	[R] Predicted symporter    
MJJCLBGC_03683	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_03684	COG1486	[G] Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases
MJJCLBGC_03685	COG1486	[G] Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases
MJJCLBGC_03686	COG1264	[G] Phosphotransferase system IIB components  
MJJCLBGC_03687	COG1263	[G] Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific 
MJJCLBGC_03688	COG2188	[K] Transcriptional regulators    
MJJCLBGC_03689	COG2985	[R] Predicted permease    
MJJCLBGC_03690	COG0071	[O] Molecular chaperone (small heat shock protein)
MJJCLBGC_03691	COG0071	[O] Molecular chaperone (small heat shock protein)
MJJCLBGC_03692	COG5645	[R] Predicted periplasmic lipoprotein   
MJJCLBGC_03693	COG1506	[E] Dipeptidyl aminopeptidases/acylaminoacyl-peptidases    
MJJCLBGC_03694	COG0644	[C] Dehydrogenases (flavoproteins)    
MJJCLBGC_03695	COG2271	[G] Sugar phosphate permease   
MJJCLBGC_03696	COG4948	[MR] L-alanine-DL-glutamate epimerase and related enzymes of
MJJCLBGC_03697	COG0800	[G] 2-keto-3-deoxy-6-phosphogluconate aldolase    
MJJCLBGC_03698	COG3734	[G] 2-keto-3-deoxy-galactonokinase     
MJJCLBGC_03699	COG2186	[K] Transcriptional regulators    
